sies_name,display_name,short_name
UNIVERSIDAD SAN SEBASTIAN,Universidad San Sebastián,USS
UNIVERSIDAD ANDRES BELLO,Universidad Andrés Bello,UNAB
UNIVERSIDAD DE CHILE,Universidad de Chile,UChile
UNIVERSIDAD MAYOR,Universidad Mayor,UMayor
UNIVERSIDAD DE LOS ANDES,Universidad de los Andes,UANDES
UNIVERSIDAD DE VALPARAISO,Universidad de Valparaíso,UV
UNIVERSIDAD DEL ALBA,Universidad del Alba,UDALBA
UNIVERSIDAD AUTONOMA DE CHILE,Universidad Autónoma de Chile,UAutónoma
UNIVERSIDAD DE CONCEPCION,Universidad de Concepción,UdeC
UNIVERSIDAD DEL DESARROLLO,Universidad del Desarrollo,UDD
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,Pontificia Universidad Católica de Chile,UC
UNIVERSIDAD FINIS TERRAE,Universidad Finis Terrae,UFT
UNIVERSIDAD DE O'HIGGINS,Universidad de O'Higgins,UOH
UNIVERSIDAD DE TALCA,Universidad de Talca,UTalca
UNIVERSIDAD CATOLICA DEL MAULE,Universidad Católica del Maule,UCM
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION,Universidad Católica de la Santísima Concepción,UCSC
UNIVERSIDAD AUSTRAL DE CHILE,Universidad Austral de Chile,UACh
UNIVERSIDAD DE SANTIAGO DE CHILE,Universidad de Santiago de Chile,USACH
UNIVERSIDAD DE LA FRONTERA,Universidad de La Frontera,UFRO
UNIVERSIDAD DIEGO PORTALES,Universidad Diego Portales,UDP
UNIVERSIDAD CATOLICA DEL NORTE,Universidad Católica del Norte,UCN
UNIVERSIDAD DE ANTOFAGASTA,Universidad de Antofagasta,UA
UNIVERSIDAD DE MAGALLANES,Universidad de Magallanes,UMAG
UNIVERSIDAD DE ATACAMA,Universidad de Atacama,UDA
UNIVERSIDAD BERNARDO O'HIGGINS,Universidad Bernardo O'Higgins,UBO
UNIVERSIDAD DE TARAPACA,Universidad de Tarapacá,UTA
UNIVERSIDAD CATOLICA DE TEMUCO,Universidad Católica de Temuco,UCT
UNIVERSIDAD DEL BIO-BIO,Universidad del Bío-Bío,UBB
UNIVERSIDAD CENTRAL DE CHILE,Universidad Central de Chile,UCEN
UNIVERSIDAD DE LA SERENA,Universidad de La Serena,ULS
UNIVERSIDAD DE LOS LAGOS,Universidad de Los Lagos,ULagos
