slug,institution,short_name,sies_name,type,subtype,is_state,is_cruch,regions,campuses_with_medicina,campus_list,campus_cities,matricula_total_2026,matricula_primer_ano_2026,women_2026,men_2026,pct_women,institutional_accreditation,programme_accreditation,duration_semesters,new_programme_2026,metric_note,source,source_url,source_date,prog_accred_years,prog_accred_from,prog_accred_until,prog_accred_source
universidad-san-sebastian,Universidad San Sebastián,USS,UNIVERSIDAD SAN SEBASTIAN,Universidades Privadas,Universidades Privadas,no,no,Biobío | Los Lagos | Los Ríos | Metropolitana,4,Concepción · Santiago · Valdivia · Sede Patagonia — Puerto Montt,4,2899,422,1752,1147,60.4,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,5,15-05-2024,15-05-2029,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-andres-bello,Universidad Andrés Bello,UNAB,UNIVERSIDAD ANDRES BELLO,Universidades Privadas,Universidades Privadas,no,no,Biobío | Metropolitana | Valparaíso,6,Santiago · Viña del Mar · Concepción,3,2362,410,1479,882,62.6,ACREDITADA,ACREDITADA,12 | 14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,5,20-01-2022,20-01-2027,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-de-chile,Universidad de Chile,UChile,UNIVERSIDAD DE CHILE,Universidades CRUCH,Universidades Estatales CRUCH,yes,yes,Metropolitana,1,Santiago,1,1831,226,960,871,52.4,ACREDITADA,NO ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,7,16-08-2023,16-08-2030,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-mayor,Universidad Mayor,UMayor,UNIVERSIDAD MAYOR,Universidades Privadas,Universidades Privadas,no,no,La Araucanía | Metropolitana,2,Temuco · Huechuraba,2,1099,148,626,473,57.0,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,5,17-06-2026,17-06-2031,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-de-los-andes,Universidad de los Andes,UANDES,UNIVERSIDAD DE LOS ANDES,Universidades CRUCH,Universidades Privadas CRUCH,no,yes,Metropolitana,2,Las Condes,1,905,72,563,342,62.2,ACREDITADA,ACREDITADA,12 | 14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,6,23-02-2022,23-02-2028,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-de-valparaiso,Universidad de Valparaíso,UV,UNIVERSIDAD DE VALPARAISO,Universidades CRUCH,Universidades Estatales CRUCH,yes,yes,Valparaíso,2,Valparaíso · San Felipe,2,897,131,536,361,59.8,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,7,09-08-2023,09-08-2030,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-del-alba,Universidad del Alba,UDALBA,UNIVERSIDAD DEL ALBA,Universidades Privadas,Universidades Privadas,no,no,Coquimbo | Metropolitana,2,Providencia · La Serena,2,896,118,555,341,61.9,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,3,07-01-2026,07-01-2029,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-autonoma-de-chile,Universidad Autónoma de Chile,UAutónoma,UNIVERSIDAD AUTONOMA DE CHILE,Universidades Privadas,Universidades Privadas,no,no,La Araucanía | Maule | Metropolitana,3,Temuco · Talca · Providencia,3,853,156,542,311,63.5,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,4,18-01-2023,18-01-2027,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-de-concepcion,Universidad de Concepción,UdeC,UNIVERSIDAD DE CONCEPCION,Universidades CRUCH,Universidades Privadas CRUCH,no,yes,Biobío,1,Concepción,1,771,104,416,355,54.0,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,7,22-06-2023,22-06-2030,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-del-desarrollo,Universidad del Desarrollo,UDD,UNIVERSIDAD DEL DESARROLLO,Universidades Privadas,Universidades Privadas,no,no,Metropolitana,2,Sede Santiago — Las Condes,1,764,111,533,231,69.8,ACREDITADA,ACREDITADA | NO ACREDITADA,12 | 14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,7,20-07-2022,20-07-2029,https://www.cnachile.cl/Paginas/medicina.aspx
