norma_id,title,organismo,promulgated,published_diario_oficial,latest_version,repealed,parts,url,machine_text_url,stored_text
5219,FIJA EL NUEVO ESTATUTO ADMINISTRATIVO PARA LOS EMPLEADOS DE LA ADMINISTRACION PUBLICA,MINISTERIO DE HACIENDA,1953-07-24,1953-07-29,1960-04-06,derogado,219,https://www.bcn.cl/leychile/navegar?idNorma=5219,https://www.bcn.cl/leychile/Consulta/obtxml?opt=7&idNorma=5219,sources/leychile/5219.txt
28031,"FIJA EL TEXTO REFUNDIDO DEL ESTATUTO PARA LOS MEDICO-CIRUJANOS, FARMACEUTICOS O QUIMICO-FARMACEUTICOS, BIO-QUIMICOS Y CIRUJANOS DENTISTAS",MINISTERIO DE SALUD PÚBLICA,1962-12-13,1963-01-08,1963-01-08,no derogado,74,https://www.bcn.cl/leychile/navegar?idNorma=28031,https://www.bcn.cl/leychile/Consulta/obtxml?opt=7&idNorma=28031,sources/leychile/28031.txt
5595,CODIGO SANITARIO,MINISTERIO DE SALUD PÚBLICA,1967-12-11,1968-01-31,2025-09-29,no derogado,271,https://www.bcn.cl/leychile/navegar?idNorma=5595,https://www.bcn.cl/leychile/Consulta/obtxml?opt=7&idNorma=5595,sources/leychile/5595.txt
236392,"FIJA TEXTO REFUNDIDO, COORDINADO Y SISTEMATIZADO DE LA LEY Nº 18.834, SOBRE ESTATUTO ADMINISTRATIVO",MINISTERIO DE HACIENDA,2004-06-16,2005-03-16,2024-08-24,no derogado,214,https://www.bcn.cl/leychile/navegar?idNorma=236392,https://www.bcn.cl/leychile/Consulta/obtxml?opt=7&idNorma=236392,sources/leychile/236392.txt
270584,"CREA EXAMEN ÚNICO NACIONAL DE CONOCIMIENTOS DE MEDICINA, INCORPORA CARGOS QUE INDICA AL SISTEMA DE ALTA DIRECCIÓN PÚBLICA Y MODIFICA LA LEY Nº19.664",MINISTERIO DE SALUD,2008-04-08,2008-04-19,2025-05-24,no derogado,21,https://www.bcn.cl/leychile/navegar?idNorma=270584,https://www.bcn.cl/leychile/Consulta/obtxml?opt=7&idNorma=270584,sources/leychile/270584.txt
1052275,REGLAMENTO DE CERTIFICACIÓN DE LAS ESPECIALIDADES DE LOS PRESTADORES INDIVIDUALES DE SALUD Y DE LAS ENTIDADES QUE LAS OTORGAN,MINISTERIO DE SALUD,2013-02-05,2013-07-01,2026-01-02,no derogado,25,https://www.bcn.cl/leychile/navegar?idNorma=1052275,https://www.bcn.cl/leychile/Consulta/obtxml?opt=7&idNorma=1052275,sources/leychile/1052275.txt
1118991,SOBRE EDUCACIÓN SUPERIOR,MINISTERIO DE EDUCACIÓN,2018-05-11,2018-05-29,2026-08-12,no derogado,205,https://www.bcn.cl/leychile/navegar?idNorma=1118991,https://www.bcn.cl/leychile/Consulta/obtxml?opt=7&idNorma=1118991,sources/leychile/1118991.txt
1119253,SOBRE UNIVERSIDADES ESTATALES,MINISTERIO DE EDUCACIÓN,2018-05-25,2018-06-05,2026-02-05,no derogado,95,https://www.bcn.cl/leychile/navegar?idNorma=1119253,https://www.bcn.cl/leychile/Consulta/obtxml?opt=7&idNorma=1119253,sources/leychile/1119253.txt
1146301,"NOMBRA EN LA PLANTA NACIONAL DE CARGOS DEL MINISTERIO DE VIVIENDA Y URBANISMO, SUS SECRETARÍAS MINISTERIALES Y LOS SERVICIOS REGIONALES DE VIVIENDA Y URBANIZACIÓN, A LA PERSONA QUE SEÑALA",MINISTERIO DE VIVIENDA Y URBANISMO,2020-03-05,2020-06-08,2020-06-08,no derogado,2,https://www.bcn.cl/leychile/navegar?idNorma=1146301,https://www.bcn.cl/leychile/Consulta/obtxml?opt=7&idNorma=1146301,sources/leychile/1146301.txt
1158549,LEY DE MIGRACIÓN Y EXTRANJERÍA,MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA,2021-04-11,2021-04-20,2222-02-02,no derogado,234,https://www.bcn.cl/leychile/navegar?idNorma=1158549,https://www.bcn.cl/leychile/Consulta/obtxml?opt=7&idNorma=1158549,sources/leychile/1158549.txt
1221118,"OTORGA REAJUSTE GENERAL DE REMUNERACIONES A LAS Y LOS TRABAJADORES DEL SECTOR PÚBLICO, CONCEDE AGUINALDOS QUE SEÑALA, CONCEDE OTROS BENEFICIOS QUE INDICA Y MODIFICA DIVERSOS CUERPOS LEGALES",MINISTERIO DE HACIENDA,2026-02-02,2026-02-05,2026-02-05,no derogado,127,https://www.bcn.cl/leychile/navegar?idNorma=1221118,https://www.bcn.cl/leychile/Consulta/obtxml?opt=7&idNorma=1221118,sources/leychile/1221118.txt
1221526,"APRUEBA REGLAMENTO QUE REGULA EL RECONOCIMIENTO Y; REVALIDACIÓN EN CHILE DE TÍTULOS DE EDUCACIÓN SUPERIOR OBTENIDOS EN EL EXTRANJERO, Y LA CONVALIDACIÓN DE ACTIVIDADES CURRICULARES CURSADAS EN UNA INSTITUCIÓN DE EDUCACIÓN SUPERIOR EXTRANJERA, EN CONFORMIDAD A LO DISPUESTO EN EL ARTÍCULO 143 DE LA LEY N° 21.325, DE MIGRACIÓN Y EXTRANJERÍA",MINISTERIO DE EDUCACIÓN,2025-12-02,2026-02-17,2026-02-17,no derogado,34,https://www.bcn.cl/leychile/navegar?idNorma=1221526,https://www.bcn.cl/leychile/Consulta/obtxml?opt=7&idNorma=1221526,sources/leychile/1221526.txt
1226114,"FIJA ARANCELES PARA LOS TRÁMITES REFERIDOS AL RECONOCIMIENTO Y REVALIDACIÓN DE TÍTULOS PROFESIONALES, TÍTULOS TÉCNICOS DE NIVEL SUPERIOR Y GRADOS ACADÉMICOS OBTENIDOS EN EL EXTRANJERO, ASÍ COMO PARA LA CONVALIDACIÓN DE ACTIVIDADES CURRICULARES CURSADAS EN UNA INSTITUCIÓN DE EDUCACIÓN SUPERIOR EXTRANJERA, CONFORME A LO DISPUESTO EN EL DECRETO SUPREMO Nº 174, DE 2024, DEL MINISTERIO DE EDUCACIÓN",MINISTERIO DE EDUCACIÓN,2026-06-17,2026-07-17,2026-07-17,no derogado,13,https://www.bcn.cl/leychile/navegar?idNorma=1226114,https://www.bcn.cl/leychile/Consulta/obtxml?opt=7&idNorma=1226114,sources/leychile/1226114.txt
